Country,Country Proton,Language,Website Language,Brand,International Number,Local Number,E164 Format
Algeria,DZA,French,fr,Regus,+213 98 230 46 15,098 230 46 15,+213982304615
Angola,AGO,Portuguese (Portugal),pt-PT,Regus,+244 226 434 535,226 434 535,+244226434535
Argentina,ARG,Spanish (LATAM),es-mx,Regus,+54 800-266-7479,0800-266-7479,+548002667479
Argentina,ARG,Spanish (LATAM),es-mx,Spaces,+54 11 5238-0016,011 5238-0016,+541152380016
Australia,AUS,English (GB),en-gb,HQ,+61 2 8317 4978,(02) 8317 4978,+61283174978
Australia,AUS,English (GB),en-gb,IWG,+61 1800 512 173,1800 512 173,+611800512173
Australia,AUS,English (GB),en-gb,Regus,+61 2 8317 4976,(02) 8317 4976,+61283174976
Australia,AUS,English (GB),en-gb,Spaces,+61 3 8595 9835,(03) 8595 9835,+61385959835
Austria,AUT,German,de,Regus,+43 1 2057747,01 2057747,+4312057747
Austria,AUT,German,de,Signature,+43 1 2057748,01 2057748,+4312057748
Austria,AUT,German,de,Spaces,+43 1 2530393,01 2530393,+4312530393
Azerbaijan,AZE,Turkish,az,Regus,+994 12 404 29 30,(012) 404 29 30,+994124042930
Bahrain,BHR,Arabic,ar,Regus,+973 1617 1365,1617 1365,+97316171365
Bahrain,BHR,Arabic,ar,Spaces,+973 1617 1366,1617 1366,+97316171366
Bangladesh,BGD,English (GB),en-gb,Regus,+880 9611-886793,09611-886793,+8809611886793
Barbados,BRB,English (US),en-us,Regus,+1 246-623-9852,(246) 623-9852,+12466239852
Belgium,BEL,Flemish,nl,IWG,+32 2 588 09 61,02 588 09 61,+3225880961
Belgium,BEL,French,fr,IWG,+32 800 89 314,0800 89 314,+3280089314
Belgium,BEL,Flemish,nl,No18,+32 3 303 65 01,03 303 65 01,+3233036501
Belgium,BEL,French,fr,No18,+32 2 808 93 46,02 808 93 46,+3228089346
Belgium,BEL,Flemish,nl,Regus,+32 3 303 65 00,03 303 65 00,+3233036500
Belgium,BEL,French,fr,Regus,+32 2 788 01 74,02 788 01 74,+3227880174
Belgium,BEL,Flemish,nl,Spaces,+32 3 303 65 02,03 303 65 02,+3233036502
Belgium,BEL,French,fr,Spaces,+32 2 588 09 65,02 588 09 65,+3225880965
Belgium,BEL,Flemish,nl,TheOfficeOperators,+32 2 588 09 55,02 588 09 55,+3225880955
Belgium,BEL,French,fr,TheOfficeOperators,+32 2 808 94 70,02 808 94 70,+3228089470
Brazil,BRA,Portuguese (Brazil),pt-BR,IWG,+55 800 047 4784,0800 047 4784,+558000474784
Brazil,BRA,Portuguese (Brazil),pt-BR,Regus,+55 800 047 5002,0800 047 5002,+558000475002
Brazil,BRA,Portuguese (Brazil),pt-BR,Spaces,+55 800 047 4505,0800 047 4505,+558000474505
Brunei,BRN,English (GB),en-gb,Regus,+673 270 4038,270 4038,+6732704038
Bulgaria,BGR,Bulgarian,bg,HQ,+359 2 437 4805,02 437 4805,+35924374805
Bulgaria,BGR,Bulgarian,bg,Regus,+359 2 490 1048,02 490 1048,+35924901048
Cambodia,KHM,Khmer,km,Regus,+855 23 962 360,023 962 360,+85523962360
Canada,CAN,English (US),en-us,HQ,+1 778-654-6510,(778) 654-6510,+17786546510
Canada,CAN,French (Canadian),fr-ca,HQ,+1 581-703-3035,(581) 703-3035,+15817033035
Canada,CAN,English (US),en-us,IWG,+1 604-757-7727,(604) 757-7727,+16047577727
Canada,CAN,French (Canadian),fr-ca,IWG,+1 833-990-1882,(833) 990-1882,+18339901882
Canada,CAN,English (US),en-us,Regus,+1 647-560-7020,(647) 560-7020,+16475607020
Canada,CAN,French (Canadian),fr-ca,Regus,+1 438-799-6282,(438) 799-6282,+14387996282
Canada,CAN,English (US),en-us,Spaces,+1 778-654-6515,(778) 654-6515,+17786546515
Canada,CAN,French (Canadian),fr-ca,Spaces,+1 438-794-3938,(438) 794-3938,+14387943938
Cayman Islands,CYM,English (US),en-us,Regus,+1 345-769-1894,(345) 769-1894,+13457691894
Chile,CHL,Spanish (LATAM),es-mx,Regus,+56 2 2914 1172,(2) 2914 1172,+56229141172
Chile,CHL,Spanish (LATAM),es-mx,Spaces,+56 2 2914 1173,(2) 2914 1173,+56229141173
China,CHN,Chinese (Simplified)ï¿½,zh-cn,HQ,+86 21 6137 5081,021 6137 5081,+862161375081
China,CHN,Chinese (Simplified)ï¿½,zh-cn,IWG,+86 21 6137 5083,021 6137 5083,+862161375083
China,CHN,Chinese (Simplified)ï¿½,zh-cn,Regus,+86 21 6137 5080,021 6137 5080,+862161375080
China,CHN,Chinese (Simplified)ï¿½,zh-cn,Spaces,+86 21 6137 5082,021 6137 5082,+862161375082
Colombia,COL,Spanish (LATAM),es-mx,HQ,+57 601 5087811,(601) 5087811,+576015087811
Colombia,COL,Spanish (LATAM),es-mx,Regus,+57 601 5087812,(601) 5087812,+576015087812
Colombia,COL,Spanish (LATAM),es-mx,Spaces,+57 601 5087845,(601) 5087845,+576015087845
Costa Rica,CRI,Spanish (LATAM),es-mx,Regus,+506 4010 2838,4010 2838,+50640102838
Croatia,HRV,Croatian,hr,Regus,+385 1 3445 765,01 3445 765,+38513445765
Croatia,HRV,Croatian,hr,Spaces,+385 1 3445 773,01 3445 773,+38513445773
Cyprus,CYP,Greek,el,Regus,+357 22 222238,22 222238,+35722222238
Czech Republic,CZE,Czech,cs,HQ,+420 255 709 426,255 709 426,+420255709426
Czech Republic,CZE,Czech,cs,Regus,+420 225 379 664,225 379 664,+420225379664
Czech Republic,CZE,Czech,cs,Spaces,+420 225 379 667,225 379 667,+420225379667
Denmark,DNK,Danish,da,Regus,+45 78 15 03 46,78 15 03 46,+4578150346
Denmark,DNK,Danish,da,Spaces,+45 78 74 98 98,78 74 98 98,+4578749898
Djibouti,DJI,French,fr,Regus,+253 21 33 46 14,21 33 46 14,+25321334614
